game_id,genre,type,publisher,author,rating,number_of_reviews,price,quantity,game_name
1,Battle Royale,Action,Epic Games,John Smith,4.5,120,29.99,50,Fortnite
2,Family,BoardGame,Valve,Jane Doe,4.3,95,24.99,30,Portal
3,Adventure,BoardGame,Ubisoft,Author3,4.7,200,39.99,20,none
4,Adventure,Puzzle,Ubisoft,Author4,4.2,60,19.99,40,lejeu
5,Battle Royale,BoardGame,Publisher,Jane Doe,4.8,150,34.99,15,fighter
6,Fantasy,Action,Epic Games,John Smith,4.4,80,32.99,25,brick
7,Abstract,Puzzle,Publisher,Author7,3.9,45,15.99,100,snake
8,Party,BoardGame,Valve,Author8,4.6,170,27.99,10,assassin
9,Deckbuilding,CardGame,Valve,Author9,4.1,55,22.99,35,fine
10,RolePlaying,Action,Epic Games,Author10,4.9,300,49.99,5,pong
